case,comparison,primary_metric,secondary_metric,takeaway
Case 1,torsion radius vs theory + point baseline,radius error=4.00%; stop-time error=3.85%,point baseline final spin=10.00 rad/s,finite-contact torsion scale is necessary and quantitatively calibrated
Case 2,controlled torsional reference: analytic vs 4D vs 3D,stop time=0.983 / 0.940 / 1.200 s,max omega error=0.0e+00; active lambda_tau error=0.0e+00,the 4D torsional branch reproduces the controlled analytic spin-down law before moving to full-engine scenes
Case 3,coupled 4D solver cross-check: SOCCP vs independent 4D PGS,max slip/yaw diff=1.574e-02 / 1.680e-02,max lambda_t diff=1.214e+00; peak scaled residuals=0.0e+00/0.0e+00,"when translation, yaw and torsion are simultaneously active, the 4D SOCCP branch remains consistent with an independent 4D projected solver rather than only with its own controlled torsion limit"
Case 4,full-engine 4D friction vs 3D torsion-free baseline,final spin=1.58e-05 vs 2.19 rad/s,residual spin reduction=99.999%,torsional impulse changes the full-engine dynamics
Case 5,p-sensitivity + resolution dependence,"final -g_eq gain=14.8% (p=4), 23.0% (p=6)","64^3 gap error=8.15% (p=2), 29.7% (p=6)",current numerical claim is scoped to p=2..4; p=6 is retained only as a trend demonstration
Case 6,two-contact normal-only consistency check,peak penetration=2.963e-02 / 2.963e-02 / 2.963e-02,SOCCP-normal LCP peak diff=0.00e+00; peak residuals=2.89e-01/2.89e-01,the symmetric normal-only scene behaves as a solver-consistency check rather than a stress test
Case 7,controlled mass-ratio robustness sweep,mass ratio 1 to 1000 all converged,max Newton iters=6; max residual inf-norm=0.0e+00,the SOCCP core remains locally robust under controlled ill-conditioning
Case 8,3D tripod landing: SOCCP / full normal LCP / fixed-dt tuned penalty,peak penetration=6.392e-03 / 6.392e-03 / 1.173e-02,tuned penalty k/c=100000/150; final tilt=20.5 / 2.7 / 4.1 deg,"NormalLCP restores the normal-only reference path; against the tuned penalty baseline, both complementarity solvers reduce penetration but do not dominate every stability metric"
Case 9,oblique box 3D friction: SOCCP vs polyhedral external baseline,max slip/spin diff=1.800e-09 / 4.744e-07,peak scaled residual=2.0e-10/4.0e-10; max tilt diff=1.477e-06,the torsion-free 3D friction branch is no longer validated only against analytic sliding and PGS; it also remains close to an independent polyhedral-cone baseline in a nontrivial 3D scene
Case 10,oblique box on plane: 4D vs 3D vs tuned penalty,final spin=7.84e-03 / 2.61 / 7.27 rad/s,final slip=0.015 / 0.019 / 0.047 m,"4D friction changes full-engine 3D dynamics beyond the axisymmetric cylinder case, albeit with the hardest residual profile"
Case 11,analytic box SDFs vs triangulated mesh-box SDFs in a two-contact stack,max upper-y diff=1.30e-09; max upper-vy diff=2.29e-08,max penetration diff=1.00e-10; peak scaled residual=7.1e-08,the current contact pipeline is no longer limited to analytical primitives and already remains consistent on a multi-contact scene with closed triangle-mesh SDF boxes
